timestamp,vus,latency_ms,memory_mb,messages_total
0,0.0,0.00,0.62,0.0
2,9.0,0.00,2.06,9.0
4,26.0,0.04,2.28,26.0
6,42.0,0.35,2.64,43.0
8,59.0,0.59,2.63,76.0
10,76.0,0.84,3.42,110.0
12,93.0,1.18,2.94,153.0
14,109.0,1.47,4.50,203.0
16,126.0,1.75,3.44,254.0
18,143.0,1.98,4.24,321.0
20,159.0,2.15,3.64,387.0
22,176.0,2.38,4.46,464.0
24,193.0,2.59,5.30,547.0
26,209.0,2.81,4.39,631.0
28,226.0,3.04,5.23,732.0
30,243.0,3.24,6.83,832.0
32,259.0,3.69,7.93,942.0
34,276.0,3.88,5.65,1058.0
36,293.0,4.06,6.57,1176.0
38,309.0,4.33,7.57,1310.0
40,326.0,5.30,8.67,1443.0
42,343.0,6.37,6.05,1584.0
44,358.0,12.94,7.54,1720.0
46,373.0,33.10,8.86,1854.0
48,385.0,70.31,10.78,1965.0
50,396.0,138.91,7.72,2075.0
52,408.0,235.22,9.46,2194.0
54,419.0,350.42,10.95,2310.0
56,430.0,487.52,7.43,2426.0
58,441.0,644.60,9.03,2543.0
60,452.0,806.73,10.67,2650.0
62,463.0,1002.23,11.64,2770.0
64,474.0,1205.89,12.59,2887.0
66,484.0,1419.65,13.52,3002.0
68,495.0,1637.09,8.76,3112.0
70,508.0,1847.31,9.69,3217.0
72,522.0,2054.24,10.62,3321.0
74,535.0,2255.06,11.54,3422.0
76,548.0,2451.13,12.45,3521.0
78,562.0,2643.19,13.35,3618.0
80,575.0,2829.32,14.26,3711.0
82,588.0,3009.30,15.15,3800.0
84,600.0,3186.62,10.04,3886.0
86,612.0,3362.02,10.93,3969.0
88,625.0,3549.50,11.82,4056.0
90,638.0,3736.67,12.70,4142.0
92,652.0,3922.93,13.60,4227.0
94,664.0,4093.96,14.48,4304.0
96,677.0,4270.70,15.35,4382.0
98,690.0,4450.71,16.22,4461.0
100,704.0,4626.63,17.09,4538.0
102,717.0,4800.98,17.95,4614.0
104,729.0,4970.70,18.83,4687.0
106,742.0,5145.55,12.62,4761.0
108,754.0,5318.63,13.47,4833.0
110,766.0,5492.11,14.33,4904.0
112,779.0,5659.83,15.19,4972.0
114,792.0,5832.03,16.04,5041.0
116,804.0,5999.56,16.89,5107.0
118,816.0,6172.50,17.75,5174.0
120,828.0,6340.74,18.59,5238.0
122,840.0,6511.64,19.45,5302.0
